OTUs,ES_001t,ES_007t,ES_010t,ES_014t,ES_017t,ES_019t,ES_024t,ES_043t,ES_046t,ES_048t,ES_069t,ES_080t,ES_088t,ES_089t,ES_095t,ES_099t,ES_104t,ES_106t,ES_107t,ES_108t,ES_110t,ES_114t,ES_116t,ES_132t,ES_137t,ES_147t,ES_158t,ES_207t,ES_208t,ES_209t,ES_210t,ES_211t
1,5,20,1,17,7,20,185,20,35,0,10,74,9,4,0,4,16,42,57,8,68,73,34,23,109,7,14,3,4,24,11,2
2,2,4,2,15,0,6,57,11,6,0,13,5,8,2,0,6,16,82,91,14,56,144,183,1,129,9,8,5,4,7,35,0
3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,35,2,0,0,3,0,2,1,3,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,4,3,4,2,8,41,5,4,0,1,6,0,2,0,2,6,16,10,4,13,22,19,2,17,0,7,2,4,8,2,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9,27,13,19,60,21,51,36,37,11,7,4,18,11,3,15,11,11,0,98,14,11,2,0,18,31,115,4,42,19,2,112,3
10,0,0,0,0,0,0,0,2,106,0,0,0,0,0,0,0,0,0,32,0,5,0,0,0,0,0,0,7,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17,1,0,0,1,0,2,1,2,0,0,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,0,1,0,0,0,1,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,0,4,0,0,1,12,37,4,5,0,1,2,0,1,0,0,3,7,9,3,4,21,3,2,3,0,3,0,1,3,0,0
20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0,0,12,0,16,0,1,0,2,0,0,0,0,0,1,9,0,0,16,0,156,0,7,1,0,0,0,4,1642,0,3,4
24,2,3,0,8,1,2,5,14,1,1,8,1,4,7,2,5,1,9,0,2,0,1,10,1,1,0,17,11,4,2,2,4
25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,12,0,0,0,0,1,0,44,0,0,0,0,0,0,0,21,0,0,28,15,0,0,0,22,0,0,20,98,0
27,2,5,4,1,2,0,0,8,1,0,4,4,0,7,3,1,4,4,0,0,1,4,3,2,2,0,27,10,7,4,0,1
28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,0,3,2,4,0,2,4,12,2,2,5,5,5,6,1,0,1,8,1,0,1,4,3,1,1,1,33,6,11,5,1,7
30,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,1,1,1,0,1,0,6,0,0,1,2,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,1,1,5,0,4,13,1,0,16,0,0,21,0,0,0,0,0,0,0,5,5,4,8,28,21,0,296,0,0,1,1,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
36,8,1,6,2,0,4,8,7,0,1,3,5,3,2,1,0,5,3,11,4,3,5,2,1,4,2,11,9,2,0,0,1
37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,14,11,5,16,12,14,25,11,8,4,5,5,4,5,4,9,1,2,0,5,2,1,1,6,6,0,5,2,1,5,1,5
40,13,13,79,14,3,5,27,29,3,2,21,111,9,21,99,5,5,13,3,15,89,8,6,6,24,0,58,104,8,8,6,50
41,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
42,0,2,3,27,25,39,224,6,5,415,12,22,26,0,82,17,558,14,100,29,3088,39,10,3,495,26,171,3,106,530,138,5
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,95,1276,11,33,11,519,11,5,193,0,241,256,225,310,3208,1843,9339,5479,7,108672,72,11,3,0,23,113066,117,35403,536,2,4549
45,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,0,51,41,538,173,790,6849,11,225,78,6,2,3,7,197,289,280,45,69,41,753,59,153,3,1,69,679,14,94,116,154,17
50,63,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,18,0,0,0,0,2,0
51,1,3,2,4,1,0,2,2,1,0,0,9,0,1,0,0,8,9,6,1,9,10,9,1,1,0,8,0,8,1,2,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,5,21,5,2,4,14,7,2,1,39,14,4,14,2,0,2,34,11,32,18,2,7,9,15,1,12,8,12,5,5,0
59,1,0,0,1,1,10,6,2,1,0,0,2,0,0,1,1,9,8,8,4,10,6,3,3,2,0,10,1,4,6,1,0
60,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,1,0,1,23,72,0,1,0,0,1,1,0,0,1,5,3,22,0,138,0,0,0,1,0,8,0,18,0,1,1
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,15,22,26,26,5,3,19,58,6,6,35,23,10,34,22,10,12,28,4,29,3,16,13,6,10,5,122,56,18,18,13,6
66,0,0,1,0,1,1,4,0,0,0,0,2,1,0,1,0,12,4,7,0,3,0,1,0,0,0,18,2,22,0,1,1
67,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,2,6,12,2,18,4,1,0,2,0,7,0,9,0,2,0
68,0,0,0,0,31,0,0,0,5,0,0,0,1,0,2,32,1,0,89,0,26,2,0,1,0,0,5,2,266,3,11,0
69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,7,54,64,352,510,354,117,96,175,11,3,8,2,47,22,356,97,203,79,1516,1131,1579,10,6,17,496,46,3203,606,1718,201
71,0,2,10,11,2,0,12,3,0,0,2,1,0,3,1,1,4,2,3,3,4,1,1,2,2,0,10,15,2,9,1,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,1,1,0,0
74,6,2,2,44,1,1,42,2,1,2,144,22,1,1,22,6,1,0,14,20,1,0,1,6,9,14,37,14,5,0,3,3
75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,2,1,0,0,7,24,0,0,3,1,0,0,2,1,2,1,2,2,4,0,2,1,0,1,3,0,2,4,2,2
77,2,0,0,1,1,3,8,11,0,0,1,21,0,0,1,0,5,11,22,2,15,12,13,1,1,0,13,0,4,3,4,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
79,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
80,1,103,13,11,9,15,75,17,48,1,2,17,0,18,4,1,8,12,9,5,17,12,13,1,10,7,34,3,15,6,5,1
81,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,6,28,0,19,17,17,0,0,0,5,0,0,5,1,1
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,4,1,3,1,9,1,0,0,1,4,3,0,1,3,11,10,10,3,17,0,5,0,1,0,52,1,51,13,8,1
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,7,39,104,42,34,0,131,790,29,0,46,346,28,91,20,12,139,428,79,131,219,241,20,46,128,21,577,153,354,79,79,33
92,0,5,2,12,1,3,3,8,7,3,27,1,1,1,8,0,6,19,4,57,6,1,11,2,6,3,5,12,10,15,5,12
93,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,3,0,2,2,0,1,0,0,0,0,0,2,1,0
94,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,7,0,3,1,2,0,2,0,1,0,1,2,0,1
95,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
96,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
97,0,0,0,1,0,0,3,1,0,0,0,1,1,0,0,0,2,0,3,1,2,1,3,0,1,0,1,1,3,3,0,0
98,0,1,0,1,0,0,5,2,1,0,1,3,0,1,0,1,1,2,6,3,4,1,5,4,3,0,4,0,6,3,1,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
100,199,1361,33,288,9787,5852,2402,869,2896,413,346,729,662,33,29,1588,10767,19390,21114,3920,7897,14982,4167,3836,1985,23,11536,1487,8288,33432,8251,18813
101,34,2,1,1,0,3,3,3,0,1,7,3,0,3,0,0,3,11,0,13,0,2,0,1,4,1,4,2,1,1,4,1
102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
104,0,1,0,0,2,0,1,0,0,0,1,4,1,0,0,0,3,8,11,0,12,2,12,0,3,0,1,0,8,5,2,1
105,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
106,0,0,0,3,1,3,0,0,0,0,0,8,0,0,0,1,17,32,0,1,39,0,4,2,3,0,24,0,5,14,1,0
107,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,1,21,1,4,21,0,0,0,1,1,0,1,8,0,5
108,1,19,3,28,13,47,299,44,31,1,8,41,9,7,3,1,18,59,72,10,44,52,28,7,70,5,13,3,12,19,8,3
