OTUs,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
1,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
2,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus jostii
3,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
4,Viruses,NA,NA,NA,NA,Poxviridae,Parapoxvirus,Orf virus
5,Viruses,NA,NA,NA,NA,Poxviridae,Suipoxvirus,Swinepox virus
6,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia,Frankia sp. EUN1f
7,Viruses,NA,NA,NA,Herpesvirales,Herpesviridae,Simplexvirus,Human herpesvirus 1
8,Bacteria,NA,Cyanobacteria,NA,Nostocales,Nostocaceae,Nostoc,Nostoc sp. PCC 7120
9,Viruses,NA,NA,NA,Herpesvirales,Herpesviridae,Roseolovirus,Human herpesvirus 7
10,Viruses,NA,NA,NA,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human herpesvirus 4
11,Viruses,NA,NA,NA,Herpesvirales,Herpesviridae,Rhadinovirus,Bovine herpesvirus 4
12,Viruses,NA,NA,NA,Herpesvirales,Herpesviridae,Mardivirus,Gallid herpesvirus 2
13,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Zymoseptoria,Zymoseptoria tritici
14,Viruses,NA,NA,NA,NA,Iridoviridae,Ranavirus,Frog virus 3
15,Viruses,NA,NA,NA,NA,Adenoviridae,Mastadenovirus,Human adenovirus C
16,Viruses,NA,NA,NA,NA,Adenoviridae,Mastadenovirus,Human adenovirus C
17,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus watsonii
18,Viruses,NA,NA,NA,NA,Polyomaviridae,Polyomavirus,Simian virus 40
19,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia,Frankia sp. CcI3
20,Viruses,NA,NA,NA,NA,Caulimoviridae,Caulimovirus,Cauliflower mosaic virus
21,Viruses,NA,NA,NA,Caudovirales,Myoviridae,T4likevirus,Enterobacteria phage T4 sensu lato
22,Viruses,NA,NA,NA,Caudovirales,Myoviridae,Spounalikevirus,Bacillus phage SPO1
23,Viruses,NA,NA,NA,Caudovirales,Myoviridae,Hpunalikevirus,Haemophilus phage HP1
24,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,Lambdalikevirus,Enterobacteria phage lambda
25,Viruses,NA,NA,NA,NA,Caulimoviridae,Cavemovirus,Tobacco vein clearing virus
26,Viruses,NA,NA,NA,Caudovirales,Podoviridae,NA,Streptococcus phage Cp-1
27,Viruses,NA,NA,NA,Caudovirales,Podoviridae,T7likevirus,Enterobacteria phage T7
28,Viruses,NA,NA,NA,NA,Microviridae,Microvirus,Enterobacteria phage alpha3
29,Viruses,NA,NA,NA,NA,Inoviridae,Inovirus,Enterobacteria phage M13
30,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Synechococcus,Synechococcus sp. CC9605
31,Viruses,NA,NA,NA,NA,Flaviviridae,Pestivirus,Bovine viral diarrhea virus 1
32,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Streptococcus phage 7201
33,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Aliquandostipite,Aliquandostipite khaoyaiensis
34,Viruses,NA,NA,NA,NA,Ascoviridae,Ascovirus,Spodoptera frugiperda ascovirus 1a
35,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactococcus phage ul36
36,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. ORS 278
37,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Synechocystis,Synechocystis sp. PCC 6803
38,Bacteria,NA,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia pneumoniae
39,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Guignardia,Guignardia bidwellii
40,Viruses,NA,NA,NA,NA,Retroviridae,Lentivirus,Human immunodeficiency virus 1
41,Bacteria,NA,Cyanobacteria,NA,Oscillatoriales,NA,Coleofasciculus,Coleofasciculus chthonoplastes
42,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Streptococcus phage MM1
43,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium sp. SKA34
44,Bacteria,NA,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis
45,Bacteria,NA,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,Persephonella marina
46,Viruses,NA,NA,NA,Caudovirales,Myoviridae,NA,Clostridium phage c-st
47,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Staphylococcus phage 11
48,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactococcus phage phiLC3
49,Viruses,NA,NA,NA,Caudovirales,Myoviridae,NA,Streptococcus phage EJ-1
50,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactobacillus phage phiadh
51,Eukaryota,NA,Apicomplexa,Aconoidasida,Haemosporida,NA,Plasmodium,Plasmodium vivax
52,Viruses,NA,NA,NA,NA,Poxviridae,Parapoxvirus,Pseudocowpox virus
53,Viruses,NA,NA,NA,NA,Adenoviridae,Mastadenovirus,Bovine adenovirus B
54,Viruses,NA,NA,NA,NA,Adenoviridae,Mastadenovirus,Human adenovirus C
55,Viruses,NA,NA,NA,NA,Baculoviridae,Alphabaculovirus,Maruca vitrata nucleopolyhedrovirus
56,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,Brettanomyces,Brettanomyces custersianus
57,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Westerdykella,Westerdykella cylindrica
58,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum lipoferum
59,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,Desulfitobacterium hafniense
60,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactobacillus prophage Lj965
61,Bacteria,NA,Cyanobacteria,NA,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
62,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,Candida,Candida neerlandica
63,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. Ex25
64,Viruses,NA,NA,NA,NA,Flaviviridae,Pestivirus,Pestivirus Giraffe-1
65,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Xylella fastidiosa
66,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,Alteromonadales bacterium TW-7
67,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus
68,Viruses,NA,NA,NA,Caudovirales,Myoviridae,Hpunalikevirus,Haemophilus phage HP2
69,Viruses,NA,NA,NA,Mononegavirales,Paramyxoviridae,Avulavirus,Avian paramyxovirus 6
70,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Streptococcus phage SM1
71,Bacteria,NA,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas,Dechloromonas aromatica
72,Bacteria,NA,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydia,Parachlamydia acanthamoebae
73,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,NA,Pseudendoclonium,Pseudendoclonium akinetum
74,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida
75,Eukaryota,NA,NA,Dinophyceae,Peridiniales,Peridiniaceae,Kryptoperidinium,Kryptoperidinium foliaceum
76,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter sp. SD-21
77,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. SG-1
78,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Drosophila melanogaster
